MATHEMATICS,FUNCTIONS,4,5,4,2,1,1,1,2,0,1,1,0,0,1,0,1,1,0,7,0.94
MATHEMATICS,LIMIT OF FUNCTION,4,3,2,2,0,0,0,0,1,1,1,0,1,1,1,0,0,1,4,0.54
MATHEMATICS,CONTINUITY & DERIVABILITY,1,2,1,3,1,2,1,1,0,1,2,1,0,0,1,1,1,1,11,1.48
MATHEMATICS,DIFFERENTIATION (MOD),3,1,1,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,5,0.67
MATHEMATICS,APPLICATION OF DERIVATIVES (AOD),4,2,4,5,2,4,2,2,3,1,1,3,1,2,1,2,3,2,24,3.22
MATHEMATICS,INDEFINITE INTEGRATION,1,0,2,1,0,1,1,0,0,0,0,1,1,2,1,1,1,1,8,1.07
MATHEMATICS,DEFINITE INTEGRATION,5,6,4,3,4,2,1,1,1,2,1,1,2,0,2,1,1,2,18,2.42
MATHEMATICS,AREA UNDER CURVE,1,1,1,3,0,1,1,1,1,1,1,1,1,1,0,1,0,0,10,1.34
MATHEMATICS,DIFFERENTIAL EQUATION,3,2,2,2,1,1,2,1,1,2,2,1,1,1,1,1,2,1,15,2.01
MATHEMATICS,STATISTICS,1,2,2,3,1,1,1,2,1,1,1,1,1,1,1,1,0,1,13,1.74
MATHEMATICS,SOLUTION OF TRIANGLE,3,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.27
MATHEMATICS,EXPONENTIAL & LOG SERIES,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0.27
MATHEMATICS,STATICS & DYNAMICS,0,6,6,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,12,1.61
MATHEMATICS,VECTOR,5,6,5,7,2,2,2,2,2,2,2,2,1,1,1,1,3,1,23,3.09
MATHEMATICS,CO-ORDINATE GEOMETRY (3-D),3,6,5,4,2,3,2,1,2,2,2,2,2,2,2,2,0,2,25,3.36
